n,epsilon,RR_MSE,RR_MAE,RR_STD,Lap_MSE,Lap_MAE,Lap_STD
10,0.05,0.045175000000000014,0.16865000000000002,0.1540670147884057,8.034887879591084,1.993304936290885,2.7968696980463053
10,0.1,0.04189000000000002,0.1593,0.15670365078363468,1.9189458228259682,0.976959566417689,1.3689619805089648
10,0.2,0.04736500000000001,0.16985,0.15626628002111764,0.46710530375110626,0.47789496820789223,0.6753446014482518
10,0.5,0.037160000000000006,0.15100000000000002,0.15235144918879792,0.08405636131682212,0.20590907005110282,0.28785541372000856
10,1.0,0.025650000000000006,0.124,0.13725925491070812,0.01947102061145111,0.10138122459019092,0.13813928368236975
10,2.0,0.012210000000000002,0.0782,0.10409206290223343,0.0054298382930270065,0.05119727487945264,0.07288402284677098
10,5.0,0.00072,0.006900000000000001,0.025888844633448926,0.0007731151427879562,0.01962664079935165,0.027486765891152655
10,10.0,1.4999999999999994e-05,0.00014999999999999996,0.0014924811556600078,0.000204583009707783,0.010144197505997871,0.01415303440502073
50,0.05,0.007708200000000001,0.07047,0.06741368676097408,0.30715221317100694,0.39217494469328595,0.5486930740966096
50,0.1,0.009277400000000002,0.07499,0.06890873351431852,0.08440422280173557,0.204287494568818,0.2866231019583533
50,0.2,0.007728800000000001,0.07024000000000001,0.06985723367606084,0.02034813902634853,0.10111080688107159,0.1411931404700729
50,0.5,0.009002600000000003,0.07413,0.06730892794855178,0.003500709569543809,0.04122915580195852,0.05852198960093247
50,1.0,0.005870000000000001,0.06118,0.060517769978376046,0.0007908089143783112,0.019709383510615852,0.02777257456616606
50,2.0,0.0025034000000000007,0.03907000000000001,0.04549865456812096,0.00019817273510730878,0.010017841055677648,0.013936589389230383
50,5.0,0.0001352000000000001,0.005520000000000001,0.011427626052821643,2.9319788156463747e-05,0.0038804914523890032,0.005371565254568255
50,10.0,1.199999999999999e-06,5.9999999999999974e-05,0.0005969924622639994,7.804154435122329e-06,0.0019780159731202715,0.0027579967248429326
100,0.05,0.0060923999999999996,0.06411000000000001,0.04879767210859271,0.08356801089443822,0.20375184409810626,0.2864758533811975
100,0.1,0.006232950000000001,0.06408500000000002,0.050310690416538816,0.019859565284953244,0.09937814451478309,0.13954817143369347
100,0.2,0.004049400000000001,0.05115000000000001,0.04935370563910241,0.004630141325657593,0.04888623959694609,0.06742326223203315
100,0.5,0.0036683500000000008,0.04854500000000002,0.04904508028408294,0.000788590545166553,0.019733663770873752,0.027757840047359077
100,1.0,0.0025282,0.03978,0.04360071951565176,0.00020413064481100023,0.009988259981189098,0.014132649858987618
100,2.0,0.0013174499999999997,0.028704999999999998,0.03199130728047255,5.048371613635676e-05,0.00506791686290667,0.007005486712940946
100,5.0,7.130000000000007e-05,0.005280000000000003,0.008347549557232745,7.594485030008486e-06,0.001962814177889095,0.002720999806665488
100,10.0,4.999999999999987e-07,4.9999999999999935e-05,0.0004392069092507207,2.1401642131522478e-06,0.0010343960422070616,0.0014433744386962248
500,0.05,0.0007173520000000003,0.021336000000000008,0.02136539456604552,0.003213516954905654,0.04048807663342936,0.056321965154474206
500,0.1,0.0010459320000000005,0.025660000000000006,0.022451802555027617,0.0008141471915611477,0.019846883422419807,0.028292520383525182
